hiep@hiep-Inspiron-3558:~$ ps aux
USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
gdm       1062  0.0  0.8 1002576 31796 tty1    Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1063  0.0  0.1 203536  4684 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1064  0.0  0.7 653088 30456 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1069  0.0  0.2 268544  8756 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1070  0.0  0.1 203556  4760 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1071  0.0  0.1 277272  5856 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1076  0.0  0.2 322968 10628 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1079  0.0  0.2 392088  9816 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1081  0.0  0.2 342476  9988 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1086  0.0  0.7 575160 30216 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1096  0.0  0.2 220172  8080 tty1     Sl   08:49   0:00 /usr/lib/ibus/i
colord    1130  0.0  0.4 341136 16140 ?        Ssl  08:49   0:00 /usr/lib/colord
root      1156  0.0  0.2 269284  8688 ?        Sl   08:49   0:00 gdm-session-wor
hiep      1160  0.0  0.2  77092  8444 ?        Ss   08:49   0:00 /lib/systemd/sy
hiep      1161  0.0  0.0 114040  2600 ?        S    08:49   0:00 (sd-pam)
hiep      1174  0.0  0.1 289912  7656 ?        Sl   08:49   0:00 /usr/bin/gnome-
hiep      1178  0.0  0.1 213668  6188 tty2     Ssl+ 08:49   0:00 /usr/lib/gdm3/g
hiep      1180  3.4  2.9 672924 116172 tty2    Sl+  08:49   2:21 /usr/lib/xorg/X
hiep      1187  0.0  0.1  51148  5440 ?        Ss   08:49   0:01 /usr/bin/dbus-d
hiep      1190  0.0  0.4 571032 16036 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1285  0.0  0.0  11304   320 ?        Ss   08:49   0:00 /usr/bin/ssh-ag
hiep      1288  0.0  0.1 367336  7576 ?        Ssl  08:49   0:00 /usr/lib/gvfs/g
hiep      1293  0.0  0.2 432020  7928 ?        Sl   08:49   0:00 /usr/lib/gvfs/g
hiep      1303  0.0  0.2 367956  8660 ?        Ssl  08:49   0:00 /usr/lib/at-spi
hiep      1308  0.0  0.1  50052  4212 ?        S    08:49   0:00 /usr/bin/dbus-d
hiep      1310  0.0  0.1 220780  6732 ?        Sl   08:49   0:01 /usr/lib/at-spi
hiep      1326  4.8  8.5 3903884 337268 tty2   Sl+  08:49   3:22 /usr/bin/gnome-
hiep      1336  0.0  0.3 1698232 12460 ?       S<l  08:49   0:00 /usr/bin/pulsea
